,plotID,year,month,day,crop1Name,crop2Name,crop3Name,crop1Variety,crop2Variety,crop3Variety,seedTreatment1Bool,seedTreatment2Bool,seedTreatment3Bool,sowingReason,crop1SowingDensity,crop2SowingDensity,crop3SowingDensity,crop1SowingDepth,crop2SowingDepth,crop3SowingDepth,sowingTimelinessDescription,comments,site,activity_type,date,costs_activity_dollars,costs_product_applied_dollars,revenue_crops_dollars,harvestOutcome,harvestReason,crop1Yield,crop2Yield,crop3Yield,terminationState,name,unitsAppliedKgOrLitres,appliedAmount,targetPest
0,APPILA_S1_P1231_R1,2023,5,31,,,,,,,,,,,,,,,,,,Insecticide,appila,pesticide,2023-05-31,11.0,11.6,0.0,,,,,,,Pyrenix Super,L,1.0,insects
1,APPILA_S1_P1231_R1,2023,5,31,,,,,,,,,,,,,,,,,,Knockdown,appila,herbicide,2023-05-31,11.0,0.6,0.0,,,,,,,Hammer,L,0.03,
2,APPILA_S1_P1231_R1,2023,5,31,,,,,,,,,,,,,,,,,,Knockdown,appila,herbicide,2023-05-31,11.0,9.0,0.0,,,,,,,Glyphosate,L,2.0,
3,APPILA_S1_P1231_R1,2023,5,31,,,,,,,,,,,,,,,,,,Pre-em,appila,herbicide,2023-05-31,11.0,15.0,0.0,,,,,,,Diuron,kg,1.0,
4,APPILA_S1_P1231_R1,2023,5,31,,,,,,,,,,,,,,,,,,Pre-em,appila,herbicide,2023-05-31,11.0,21.8,0.0,,,,,,,Propyzamide,L,1.0,
5,APPILA_S1_P1231_R1,2023,5,31,,,,,,,,,,,,,,,,,,at sowing,appila,fertiliser,2023-05-31,8.5,59.8,0.0,,,,,,,MAP,kg,104.0,
6,APPILA_S1_P1231_R1,2023,5,31,,,,,,,,,,,,,,,,,,at sowing with MAP fertiliser,appila,fungicide,2023-05-31,11.0,7.800000000000001,0.0,,,,,,, Flutriafol,L,0.2,
7,APPILA_S1_P1231_R1,2023,5,31,Vetch ,,,Volga,,,False,,,sale,20.0,,,25.0,,,On-time,,appila,sowing,2023-05-31,50.0,0.0,0.0,,,,,,,,,,
8,APPILA_S1_P1231_R1,2023,11,11,Vetch ,,,,,,,,,,,,,,,,,,appila,termination,2023-11-11,80.0,0.0,0.0,success,mulch,0.0,,,stubble,,,,
9,APPILA_S1_P1231_R2,2023,5,31,,,,,,,,,,,,,,,,,,Insecticide,appila,pesticide,2023-05-31,11.0,11.6,0.0,,,,,,,Pyrenix Super,L,1.0,insects
10,APPILA_S1_P1231_R2,2023,5,31,,,,,,,,,,,,,,,,,,Knockdown,appila,herbicide,2023-05-31,11.0,0.6,0.0,,,,,,,Hammer,L,0.03,
11,APPILA_S1_P1231_R2,2023,5,31,,,,,,,,,,,,,,,,,,Knockdown,appila,herbicide,2023-05-31,11.0,9.0,0.0,,,,,,,Glyphosate,L,2.0,
12,APPILA_S1_P1231_R2,2023,5,31,,,,,,,,,,,,,,,,,,Pre-em,appila,herbicide,2023-05-31,11.0,15.0,0.0,,,,,,,Diuron,kg,1.0,
13,APPILA_S1_P1231_R2,2023,5,31,,,,,,,,,,,,,,,,,,Pre-em,appila,herbicide,2023-05-31,11.0,21.8,0.0,,,,,,,Propyzamide,L,1.0,
14,APPILA_S1_P1231_R2,2023,5,31,,,,,,,,,,,,,,,,,,at sowing,appila,fertiliser,2023-05-31,8.5,59.8,0.0,,,,,,,MAP,kg,104.0,
15,APPILA_S1_P1231_R2,2023,5,31,,,,,,,,,,,,,,,,,,at sowing with MAP fertiliser,appila,fungicide,2023-05-31,11.0,7.800000000000001,0.0,,,,,,, Flutriafol,L,0.2,
16,APPILA_S1_P1231_R2,2023,5,31,Vetch ,,,Volga,,,False,,,sale,20.0,,,25.0,,,On-time,,appila,sowing,2023-05-31,50.0,0.0,0.0,,,,,,,,,,
17,APPILA_S1_P1231_R2,2023,11,11,Vetch ,,,,,,,,,,,,,,,,,,appila,termination,2023-11-11,80.0,0.0,0.0,success,mulch,0.0,,,stubble,,,,
18,APPILA_S1_P1231_R3,2023,5,31,,,,,,,,,,,,,,,,,,Insecticide,appila,pesticide,2023-05-31,11.0,11.6,0.0,,,,,,,Pyrenix Super,L,1.0,insects
19,APPILA_S1_P1231_R3,2023,5,31,,,,,,,,,,,,,,,,,,Knockdown,appila,herbicide,2023-05-31,11.0,0.6,0.0,,,,,,,Hammer,L,0.03,
20,APPILA_S1_P1231_R3,2023,5,31,,,,,,,,,,,,,,,,,,Knockdown,appila,herbicide,2023-05-31,11.0,9.0,0.0,,,,,,,Glyphosate,L,2.0,
21,APPILA_S1_P1231_R3,2023,5,31,,,,,,,,,,,,,,,,,,Pre-em,appila,herbicide,2023-05-31,11.0,15.0,0.0,,,,,,,Diuron,kg,1.0,
22,APPILA_S1_P1231_R3,2023,5,31,,,,,,,,,,,,,,,,,,Pre-em,appila,herbicide,2023-05-31,11.0,21.8,0.0,,,,,,,Propyzamide,L,1.0,
23,APPILA_S1_P1231_R3,2023,5,31,,,,,,,,,,,,,,,,,,at sowing,appila,fertiliser,2023-05-31,8.5,59.8,0.0,,,,,,,MAP,kg,104.0,
24,APPILA_S1_P1231_R3,2023,5,31,,,,,,,,,,,,,,,,,,at sowing with MAP fertiliser,appila,fungicide,2023-05-31,11.0,7.800000000000001,0.0,,,,,,, Flutriafol,L,0.2,
25,APPILA_S1_P1231_R3,2023,5,31,Vetch ,,,Volga,,,False,,,sale,20.0,,,25.0,,,On-time,,appila,sowing,2023-05-31,50.0,0.0,0.0,,,,,,,,,,
26,APPILA_S1_P1231_R3,2023,11,11,Vetch ,,,,,,,,,,,,,,,,,,appila,termination,2023-11-11,80.0,0.0,0.0,success,mulch,0.0,,,stubble,,,,
27,APPILA_S1_P2312_R1,2023,5,31,,,,,,,,,,,,,,,,,,Insecticide,appila,pesticide,2023-05-31,11.0,11.6,0.0,,,,,,,Pyrenix Super,L,1.0,insects
28,APPILA_S1_P2312_R1,2023,5,31,,,,,,,,,,,,,,,,,,Knockdown,appila,herbicide,2023-05-31,11.0,0.6,0.0,,,,,,,Hammer,L,0.03,
29,APPILA_S1_P2312_R1,2023,5,31,,,,,,,,,,,,,,,,,,Knockdown,appila,herbicide,2023-05-31,11.0,9.0,0.0,,,,,,,Glyphosate,L,2.0,
30,APPILA_S1_P2312_R1,2023,5,31,,,,,,,,,,,,,,,,,,Pre-em,appila,herbicide,2023-05-31,11.0,6.4,0.0,,,,,,,Trifluralin,L,0.8,
31,APPILA_S1_P2312_R1,2023,5,31,,,,,,,,,,,,,,,,,,Pre-em,appila,herbicide,2023-05-31,11.0,18.400000000000002,0.0,,,,,,,Tri-allate,L,1.6,
32,APPILA_S1_P2312_R1,2023,5,31,,,,,,,,,,,,,,,,,,Pre-em,appila,herbicide,2023-05-31,11.0,31.299999999999997,0.0,,,,,,,Boxer Gold,L,2.5,
